Number_of_Riders,Number_of_Drivers,Location_enc,Loyalty_enc,Number_of_Past_Rides,Average_Ratings,Time_enc,Vehicle_enc,Expected_Ride_Duration,demand_supply_ratio,high_demand_flag,low_supply_flag,surge_indicator,rider_driver_diff,is_premium,is_night,is_loyal_gold
53,6,0,2,74,4.12,3,0,76,7.571428571428571,0,1,0,47,0,1,0
57,46,0,1,42,4.39,2,0,56,1.2127659574468086,0,0,0,11,0,0,0
54,12,1,2,84,4.98,1,1,172,4.153846153846154,0,0,0,42,1,0,0
53,12,1,0,79,3.6,3,1,154,4.076923076923077,0,0,0,41,1,1,1
73,63,1,2,25,4.19,0,0,129,1.140625,0,0,0,10,0,0,0
21,7,0,1,58,4.31,2,1,75,2.625,0,1,0,14,1,0,0
67,32,1,1,40,4.47,0,1,13,2.0303030303030303,0,0,0,35,1,0,0
27,8,0,0,48,4.18,0,0,167,3.0,0,1,0,19,0,0,1
28,5,0,1,69,4.49,2,1,132,4.666666666666667,0,1,0,23,1,0,0
45,7,0,1,87,4.35,1,0,74,5.625,0,1,0,38,0,0,0
21,9,1,1,38,4.54,2,0,179,2.1,0,1,0,12,0,0,0
65,48,0,2,12,4.37,0,1,140,1.3265306122448979,0,0,0,17,1,0,0
34,16,2,2,47,4.12,1,0,93,2.0,0,0,0,18,0,0,0
71,30,0,1,45,4.16,1,1,53,2.2903225806451615,0,0,0,41,1,0,0
86,26,0,2,31,3.69,0,0,85,3.185185185185185,1,0,0,60,0,0,0
95,25,1,1,72,4.16,2,1,128,3.6538461538461537,1,0,0,70,1,0,0
79,29,0,2,29,4.22,3,0,99,2.6333333333333333,0,0,0,50,0,1,0
24,10,2,0,24,4.09,2,1,97,2.1818181818181817,0,1,0,14,1,0,1
80,42,2,0,85,4.22,3,0,131,1.8604651162790697,0,0,0,38,0,1,1
93,31,1,0,13,3.58,0,1,101,2.90625,1,0,0,62,1,0,1
73,33,1,2,60,3.88,3,1,161,2.1470588235294117,0,0,0,40,1,1,0
52,14,1,0,97,4.83,1,1,66,3.466666666666667,0,0,0,38,1,0,1
39,29,1,2,12,4.24,1,0,97,1.3,0,0,0,10,0,0,0
78,63,0,0,14,4.21,0,0,147,1.21875,0,0,0,15,0,0,1
63,12,2,2,54,4.47,1,1,140,4.846153846153846,0,0,0,51,1,0,0
31,18,2,1,46,4.86,3,0,128,1.631578947368421,0,0,0,13,0,1,0
21,8,1,0,37,3.71,1,1,171,2.3333333333333335,0,1,0,13,1,0,1
74,27,1,2,51,3.75,2,1,111,2.642857142857143,0,0,0,47,1,0,0
75,51,0,1,17,4.83,0,1,79,1.4423076923076923,0,0,0,24,1,0,0
23,11,2,1,11,4.86,0,0,133,1.9166666666666667,0,0,0,12,0,0,0
99,9,0,2,33,4.98,0,0,110,9.9,1,1,1,90,0,0,0
95,73,2,1,20,3.59,1,1,138,1.2837837837837838,1,0,0,22,1,0,0
36,13,2,2,84,4.88,1,1,140,2.5714285714285716,0,0,0,23,1,0,0
26,15,2,1,35,5.0,2,1,161,1.625,0,0,0,11,1,0,0
82,20,2,1,59,3.99,3,1,45,3.9047619047619047,1,0,0,62,1,1,0
23,8,2,2,27,4.73,0,0,117,2.5555555555555554,0,1,0,15,0,0,0
85,34,0,1,66,4.59,2,1,163,2.4285714285714284,1,0,0,51,1,0,0
35,19,2,2,45,4.99,0,0,159,1.75,0,0,0,16,0,0,0
83,10,2,0,28,3.91,0,0,23,7.545454545454546,1,1,1,73,0,0,1
93,28,2,2,63,3.9,1,0,38,3.206896551724138,1,0,0,65,0,0,0
88,15,2,1,39,4.51,0,0,137,5.5,1,0,0,73,0,0,0
95,24,1,0,79,3.5,0,0,130,3.8,1,0,0,71,0,0,1
93,51,0,2,12,4.98,2,1,90,1.7884615384615385,1,0,0,42,1,0,0
31,7,1,2,24,4.82,1,1,87,3.875,0,1,0,24,1,0,0
30,11,0,0,93,3.56,3,1,155,2.5,0,0,0,19,1,1,1
71,59,2,1,71,4.47,1,0,31,1.1833333333333333,0,0,0,12,0,0,0
36,9,1,2,53,4.46,3,1,127,3.6,0,1,0,27,1,1,0
91,14,1,2,19,4.78,3,1,19,6.066666666666666,1,0,0,77,1,1,0
36,8,2,0,47,4.07,0,0,77,4.0,0,1,0,28,0,0,1
53,14,1,2,24,3.99,0,1,161,3.533333333333333,0,0,0,39,1,0,0
28,6,1,1,2,4.29,2,0,89,4.0,0,1,0,22,0,0,0
57,20,0,1,92,3.74,2,0,53,2.7142857142857144,0,0,0,37,0,0,0
28,15,0,0,90,4.25,3,1,177,1.75,0,0,0,13,1,1,1
37,5,2,2,75,3.88,1,1,26,6.166666666666667,0,1,0,32,1,0,0
38,22,1,1,18,4.17,3,1,121,1.6521739130434783,0,0,0,16,1,1,0
64,10,2,2,62,4.98,1,0,38,5.818181818181818,0,1,0,54,0,0,0
98,54,0,1,34,4.57,1,1,113,1.7818181818181817,1,0,0,44,1,0,0
74,32,1,1,2,4.7,1,1,38,2.242424242424242,0,0,0,42,1,0,0
27,12,1,2,64,4.7,1,0,149,2.076923076923077,0,0,0,15,0,0,0
42,29,1,2,67,4.59,2,1,153,1.4,0,0,0,13,1,0,0
75,28,2,0,6,4.02,1,1,171,2.586206896551724,0,0,0,47,1,0,1
49,20,0,2,52,4.74,0,1,162,2.3333333333333335,0,0,0,29,1,0,0
46,14,1,2,21,4.71,0,0,15,3.066666666666667,0,0,0,32,0,0,0
88,28,2,0,22,4.99,3,1,154,3.0344827586206895,1,0,0,60,1,1,1
34,20,2,0,21,4.15,2,1,158,1.619047619047619,0,0,0,14,1,0,1
88,46,0,0,35,4.89,0,1,72,1.872340425531915,1,0,0,42,1,0,1
62,7,2,2,2,4.71,2,1,28,7.75,0,1,0,55,1,0,0
93,59,0,1,30,4.11,0,1,89,1.55,1,0,0,34,1,0,0
61,26,0,0,21,3.85,2,1,126,2.259259259259259,0,0,0,35,1,0,1
84,49,2,1,32,4.25,3,1,53,1.68,1,0,0,35,1,1,0
69,51,2,1,75,3.57,3,1,136,1.3269230769230769,0,0,0,18,1,1,0
43,6,1,2,34,4.4,2,1,24,6.142857142857143,0,1,0,37,1,0,0
24,6,2,1,65,4.29,0,1,106,3.4285714285714284,0,1,0,18,1,0,0
100,46,1,0,74,3.74,0,0,171,2.127659574468085,1,0,0,54,0,0,1
42,16,0,0,33,3.63,2,0,166,2.4705882352941178,0,0,0,26,0,0,1
76,35,1,1,8,4.89,0,1,138,2.111111111111111,0,0,0,41,1,0,0
21,9,2,0,91,4.82,2,0,47,2.1,0,1,0,12,0,0,1
29,13,1,0,44,4.29,1,1,87,2.0714285714285716,0,0,0,16,1,0,1
40,5,0,2,17,4.55,0,0,72,6.666666666666667,0,1,0,35,0,0,0
34,7,2,2,54,4.71,3,1,149,4.25,0,1,0,27,1,1,0
29,10,1,1,25,3.77,0,0,91,2.6363636363636362,0,1,0,19,0,0,0
27,12,1,1,39,4.51,2,1,55,2.076923076923077,0,0,0,15,1,0,0
51,20,0,2,57,3.68,3,0,67,2.4285714285714284,0,0,0,31,0,1,0
94,61,2,1,12,4.95,1,1,133,1.5161290322580645,1,0,0,33,1,0,0
32,5,0,0,80,3.55,3,0,14,5.333333333333333,0,1,0,27,0,1,1
38,28,0,2,35,3.93,0,1,54,1.3103448275862069,0,0,0,10,1,0,0
93,6,0,2,85,4.47,3,0,107,13.285714285714286,1,1,1,87,0,1,0
54,28,1,2,83,4.49,3,0,32,1.8620689655172413,0,0,0,26,0,1,0
80,69,1,2,94,4.44,3,0,74,1.1428571428571428,0,0,0,11,0,1,0
68,11,0,2,89,3.66,1,0,93,5.666666666666667,0,0,0,57,0,0,0
76,23,0,1,64,3.57,3,1,115,3.1666666666666665,0,0,0,53,1,1,0
53,19,1,2,54,3.84,1,0,132,2.65,0,0,0,34,0,0,0
59,5,0,0,17,4.97,1,1,143,9.833333333333334,0,1,0,54,1,0,1
36,25,1,1,61,3.64,3,0,132,1.3846153846153846,0,0,0,11,0,1,0
28,14,0,2,77,3.58,0,0,98,1.8666666666666667,0,0,0,14,0,0,0
35,21,1,2,13,4.14,2,1,36,1.5909090909090908,0,0,0,14,1,0,0
36,23,2,2,42,4.66,2,0,14,1.5,0,0,0,13,0,0,0
72,33,0,0,66,4.39,2,1,30,2.1176470588235294,0,0,0,39,1,0,1
75,63,2,0,24,4.18,0,0,29,1.171875,0,0,0,12,0,0,1
76,9,2,2,64,4.16,1,0,10,7.6,0,1,0,67,0,0,0
26,5,0,2,7,4.75,0,1,140,4.333333333333333,0,1,0,21,1,0,0
79,55,1,1,91,4.39,2,0,48,1.4107142857142858,0,0,0,24,0,0,0
87,5,2,2,59,4.32,3,0,42,14.5,1,1,1,82,0,1,0
25,15,0,0,65,4.88,1,1,101,1.5625,0,0,0,10,1,0,1
59,18,2,0,67,3.86,2,0,98,3.1052631578947367,0,0,0,41,0,0,1
46,8,2,2,32,4.81,0,0,112,5.111111111111111,0,1,0,38,0,0,0
37,12,0,2,15,3.73,1,0,142,2.8461538461538463,0,0,0,25,0,0,0
71,33,1,1,4,4.88,1,1,109,2.088235294117647,0,0,0,38,1,0,0
47,9,1,0,38,4.06,2,0,141,4.7,0,1,0,38,0,0,1
40,20,0,1,11,4.4,0,0,83,1.9047619047619047,0,0,0,20,0,0,0
75,7,1,0,100,4.13,2,0,134,9.375,0,1,0,68,0,0,1
56,20,2,1,74,4.05,1,0,25,2.6666666666666665,0,0,0,36,0,0,0
21,11,2,0,46,3.84,2,0,103,1.75,0,0,0,10,0,0,1
24,13,2,2,50,4.26,3,1,141,1.7142857142857142,0,0,0,11,1,1,0
23,7,2,0,96,3.97,0,1,165,2.875,0,1,0,16,1,0,1
28,6,1,0,54,4.03,0,1,168,4.0,0,1,0,22,1,0,1
32,15,2,0,67,3.76,1,1,23,2.0,0,0,0,17,1,0,1
20,7,1,0,71,3.83,2,1,51,2.5,0,1,0,13,1,0,1
43,26,0,1,59,4.91,0,0,175,1.5925925925925926,0,0,0,17,0,0,0
23,5,2,0,92,3.71,3,0,105,3.8333333333333335,0,1,0,18,0,1,1
96,29,2,1,84,3.65,3,0,176,3.2,1,0,0,67,0,1,0
89,8,1,2,18,3.83,2,0,121,9.88888888888889,1,1,1,81,0,0,0
31,7,0,2,27,4.73,2,1,141,3.875,0,1,0,24,1,0,0
56,10,0,0,28,3.8,0,0,144,5.090909090909091,0,1,0,46,0,0,1
81,42,1,1,88,4.14,0,0,47,1.8837209302325582,0,0,0,39,0,0,0
38,25,2,1,2,4.24,2,1,128,1.4615384615384615,0,0,0,13,1,0,0
32,22,1,2,9,4.68,3,1,135,1.391304347826087,0,0,0,10,1,1,0
34,5,2,1,26,4.85,1,1,152,5.666666666666667,0,1,0,29,1,0,0
78,41,2,2,12,4.99,0,0,22,1.8571428571428572,0,0,0,37,0,0,0
54,37,1,1,41,4.69,0,1,16,1.4210526315789473,0,0,0,17,1,0,0
93,36,2,0,60,4.63,0,0,111,2.5135135135135136,1,0,0,57,0,0,1
75,9,0,0,71,4.06,3,0,150,7.5,0,1,0,66,0,1,1
74,38,2,1,95,5.0,1,0,167,1.8974358974358974,0,0,0,36,0,0,0
100,51,2,2,56,3.58,3,0,89,1.9230769230769231,1,0,0,49,0,1,0
95,84,1,0,18,3.86,0,1,112,1.1176470588235294,1,0,0,11,1,0,1
63,23,2,2,48,4.09,1,0,49,2.625,0,0,0,40,0,0,0
35,10,0,0,40,3.54,3,0,75,3.1818181818181817,0,1,0,25,0,1,1
94,82,1,0,48,4.92,2,1,20,1.1325301204819278,1,0,0,12,1,0,1
62,21,0,1,61,4.57,3,0,56,2.8181818181818183,0,0,0,41,0,1,0
51,11,1,1,72,3.62,0,0,16,4.25,0,0,0,40,0,0,0
93,20,2,1,38,4.78,0,1,144,4.428571428571429,1,0,0,73,1,0,0
48,12,0,2,25,4.26,3,0,180,3.6923076923076925,0,0,0,36,0,1,0
79,14,0,2,71,3.74,1,0,128,5.266666666666667,0,0,0,65,0,0,0
70,35,2,2,35,4.9,3,1,108,1.9444444444444444,0,0,0,35,1,1,0
28,11,1,0,52,4.33,0,1,94,2.3333333333333335,0,0,0,17,1,0,1
96,27,0,0,21,4.37,3,1,57,3.4285714285714284,1,0,0,69,1,1,1
79,11,2,1,1,4.35,3,1,45,6.583333333333333,0,0,0,68,1,1,0
43,33,0,0,16,4.01,2,1,159,1.2647058823529411,0,0,0,10,1,0,1
27,6,0,1,74,4.75,0,1,157,3.857142857142857,0,1,0,21,1,0,0
40,18,2,2,16,4.59,0,1,157,2.1052631578947367,0,0,0,22,1,0,0
36,10,0,0,65,3.54,3,0,53,3.272727272727273,0,1,0,26,0,1,1
91,29,2,1,82,3.73,0,1,90,3.033333333333333,1,0,0,62,1,0,0
50,40,0,2,61,4.7,1,1,73,1.2195121951219512,0,0,0,10,1,0,0
59,21,0,1,97,3.6,0,1,67,2.6818181818181817,0,0,0,38,1,0,0
82,67,2,1,13,4.43,0,0,33,1.2058823529411764,1,0,0,15,0,0,0
30,13,1,0,72,4.18,3,1,113,2.142857142857143,0,0,0,17,1,1,1
67,54,1,1,53,3.67,2,0,110,1.2181818181818183,0,0,0,13,0,0,0
65,36,1,2,20,4.39,3,1,87,1.7567567567567568,0,0,0,29,1,1,0
51,5,2,0,0,4.59,0,1,92,8.5,0,1,0,46,1,0,1
25,8,2,2,11,4.0,0,0,109,2.7777777777777777,0,1,0,17,0,0,0
30,13,0,0,8,4.1,0,0,94,2.142857142857143,0,0,0,17,0,0,1
60,24,0,1,18,4.16,2,1,45,2.4,0,0,0,36,1,0,0
30,16,1,0,89,3.63,0,0,142,1.7647058823529411,0,0,0,14,0,0,1
96,36,2,1,57,4.06,1,1,139,2.5945945945945947,1,0,0,60,1,0,0
97,71,1,2,52,4.32,1,0,36,1.3472222222222223,1,0,0,26,0,0,0
43,9,0,2,2,4.12,2,0,126,4.3,0,1,0,34,0,0,0
72,19,0,0,89,4.74,2,1,45,3.6,0,0,0,53,1,0,1
50,27,1,0,100,4.22,2,1,173,1.7857142857142858,0,0,0,23,1,0,1
66,16,2,2,94,4.52,2,0,34,3.8823529411764706,0,0,0,50,0,0,0
84,64,2,1,34,4.13,1,1,99,1.2923076923076924,1,0,0,20,1,0,0
64,46,0,2,51,5.0,1,1,29,1.3617021276595744,0,0,0,18,1,0,0
97,66,2,2,90,3.6,1,1,150,1.4477611940298507,1,0,0,31,1,0,0
81,33,1,1,41,4.93,0,1,162,2.3823529411764706,0,0,0,48,1,0,0
74,5,1,1,80,3.63,3,0,134,12.333333333333334,0,1,0,69,0,1,0
28,8,1,1,69,3.86,1,1,175,3.111111111111111,0,1,0,20,1,0,0
21,9,2,0,10,3.88,2,1,108,2.1,0,1,0,12,1,0,1
59,29,2,1,68,4.4,3,1,88,1.9666666666666666,0,0,0,30,1,1,0
84,74,1,1,7,4.4,0,1,101,1.12,1,0,0,10,1,0,0
59,22,0,1,79,4.38,2,1,93,2.5652173913043477,0,0,0,37,1,0,0
22,10,0,1,26,4.97,2,0,170,2.0,0,1,0,12,0,0,0
40,29,1,2,6,4.94,3,1,71,1.3333333333333333,0,0,0,11,1,1,0
96,48,2,0,41,4.39,2,0,130,1.9591836734693877,1,0,0,48,0,0,1
55,19,2,1,64,4.34,2,1,129,2.75,0,0,0,36,1,0,0
64,25,1,2,85,4.46,0,1,37,2.4615384615384617,0,0,0,39,1,0,0
29,16,2,2,75,4.11,2,1,80,1.7058823529411764,0,0,0,13,1,0,0
28,18,1,1,100,3.7,0,0,127,1.4736842105263157,0,0,0,10,0,0,0
39,28,2,2,72,3.76,0,1,87,1.3448275862068966,0,0,0,11,1,0,0
20,9,2,2,77,3.91,1,0,89,2.0,0,1,0,11,0,0,0
51,14,0,0,16,3.51,3,1,30,3.4,0,0,0,37,1,1,1
97,7,2,2,22,3.74,0,1,147,12.125,1,1,1,90,1,0,0
35,22,2,2,28,4.88,0,1,116,1.5217391304347827,0,0,0,13,1,0,0
46,8,0,0,39,3.97,1,1,123,5.111111111111111,0,1,0,38,1,0,1
40,6,0,0,37,4.75,0,1,148,5.714285714285714,0,1,0,34,1,0,1
46,15,1,2,96,4.69,2,1,116,2.875,0,0,0,31,1,0,0
80,22,0,0,17,4.4,2,0,141,3.4782608695652173,0,0,0,58,0,0,1
65,40,2,2,48,3.59,1,0,121,1.5853658536585367,0,0,0,25,0,0,0
80,48,1,1,13,4.44,3,0,35,1.6326530612244898,0,0,0,32,0,1,0
98,43,1,0,62,4.98,2,0,130,2.227272727272727,1,0,0,55,0,0,1
98,61,2,2,91,4.28,3,0,95,1.5806451612903225,1,0,0,37,0,1,0
96,48,2,0,11,4.19,3,0,79,1.9591836734693877,1,0,0,48,0,1,1
84,67,1,1,48,4.87,3,0,81,1.2352941176470589,1,0,0,17,0,1,0
74,42,2,0,88,3.5,1,0,77,1.7209302325581395,0,0,0,32,0,0,1
64,5,0,0,91,4.34,1,1,21,10.666666666666666,0,1,0,59,1,0,1
38,12,0,2,44,4.85,1,0,110,2.923076923076923,0,0,0,26,0,0,0
76,26,1,2,74,4.18,1,1,159,2.814814814814815,0,0,0,50,1,0,0
90,58,2,0,1,4.7,0,1,21,1.5254237288135593,1,0,0,32,1,0,1
98,46,1,0,55,4.71,1,0,173,2.0851063829787235,1,0,0,52,0,0,1
91,53,1,0,67,4.56,3,0,50,1.6851851851851851,1,0,0,38,0,1,1
59,36,1,1,43,3.74,1,1,25,1.5945945945945945,0,0,0,23,1,0,0
82,59,0,1,39,3.5,3,1,67,1.3666666666666667,1,0,0,23,1,1,0
27,15,2,2,31,4.95,0,0,103,1.6875,0,0,0,12,0,0,0
58,10,2,0,51,4.27,3,1,138,5.2727272727272725,0,1,0,48,1,1,1
53,35,2,0,35,3.92,0,1,166,1.4722222222222223,0,0,0,18,1,0,1
100,21,1,1,20,3.52,3,1,163,4.545454545454546,1,0,0,79,1,1,0
86,41,0,1,96,4.5,2,1,68,2.0476190476190474,1,0,0,45,1,0,0
73,55,0,1,55,4.2,0,0,52,1.3035714285714286,0,0,0,18,0,0,0
92,33,1,2,70,3.69,1,1,46,2.7058823529411766,1,0,0,59,1,0,0
80,56,1,0,63,4.57,3,1,43,1.4035087719298245,0,0,0,24,1,1,1
25,15,2,0,15,4.18,2,1,176,1.5625,0,0,0,10,1,0,1
48,23,0,0,0,4.46,0,0,174,2.0,0,0,0,25,0,0,1
100,70,2,0,42,4.9,3,1,167,1.408450704225352,1,0,0,30,1,1,1
93,18,1,0,34,3.54,0,0,80,4.894736842105263,1,0,0,75,0,0,1
99,40,2,0,26,4.83,1,1,151,2.4146341463414633,1,0,0,59,1,0,1
100,50,2,1,20,4.14,1,0,127,1.9607843137254901,1,0,0,50,0,0,0
87,5,0,0,6,3.76,1,0,28,14.5,1,1,1,82,0,0,1
40,10,2,1,60,3.87,3,1,79,3.6363636363636362,0,1,0,30,1,1,0
65,19,1,2,24,4.59,1,0,96,3.25,0,0,0,46,0,0,0
88,18,1,2,80,4.83,1,0,109,4.631578947368421,1,0,0,70,0,0,0
51,25,0,1,21,4.43,1,1,38,1.9615384615384615,0,0,0,26,1,0,0
33,16,0,1,81,4.08,0,1,50,1.9411764705882353,0,0,0,17,1,0,0
89,75,2,2,10,4.91,1,0,16,1.1710526315789473,1,0,0,14,0,0,0
57,47,2,0,26,3.8,2,0,30,1.1875,0,0,0,10,0,0,1
72,27,2,0,76,3.97,2,1,70,2.5714285714285716,0,0,0,45,1,0,1
73,14,2,0,28,4.31,1,0,29,4.866666666666666,0,0,0,59,0,0,1
27,11,1,0,88,4.5,1,1,144,2.25,0,0,0,16,1,0,1
97,75,2,1,15,4.94,0,0,163,1.2763157894736843,1,0,0,22,0,0,0
95,28,0,1,34,4.48,1,0,163,3.2758620689655173,1,0,0,67,0,0,0
100,32,1,1,67,3.94,1,1,162,3.0303030303030303,1,0,0,68,1,0,0
97,21,2,1,43,3.79,0,1,106,4.409090909090909,1,0,0,76,1,0,0
70,60,2,1,57,4.05,0,1,43,1.1475409836065573,0,0,0,10,1,0,0
21,11,0,0,18,4.2,2,1,49,1.75,0,0,0,10,1,0,1
94,26,1,1,0,3.94,0,1,40,3.4814814814814814,1,0,0,68,1,0,0
53,40,0,0,79,3.66,1,1,30,1.2926829268292683,0,0,0,13,1,0,1
26,8,0,0,65,3.58,3,1,89,2.888888888888889,0,1,0,18,1,1,1
92,77,2,0,100,4.26,3,0,47,1.1794871794871795,1,0,0,15,0,1,1
47,36,0,2,100,4.2,2,0,103,1.2702702702702702,0,0,0,11,0,0,0
57,38,2,1,31,3.97,2,1,64,1.4615384615384615,0,0,0,19,1,0,0
84,54,1,2,59,4.98,0,1,43,1.5272727272727273,1,0,0,30,1,0,0
89,12,2,2,42,4.73,0,0,102,6.846153846153846,1,0,0,77,0,0,0
57,26,0,1,92,3.8,1,1,67,2.111111111111111,0,0,0,31,1,0,0
24,10,1,1,79,4.3,3,0,24,2.1818181818181817,0,1,0,14,0,1,0
35,20,1,1,62,3.55,0,0,117,1.6666666666666667,0,0,0,15,0,0,0
61,47,1,2,100,4.58,3,1,157,1.2708333333333333,0,0,0,14,1,1,0
50,39,2,0,62,3.95,2,1,135,1.25,0,0,0,11,1,0,1
29,17,2,2,76,3.61,2,0,166,1.6111111111111112,0,0,0,12,0,0,0
68,16,2,2,91,4.49,3,0,77,4.0,0,0,0,52,0,1,0
77,63,1,0,72,4.56,2,0,113,1.203125,0,0,0,14,0,0,1
33,13,0,0,34,4.78,2,0,66,2.357142857142857,0,0,0,20,0,0,1
83,7,1,0,24,4.9,2,1,24,10.375,1,1,1,76,1,0,1
74,34,0,1,18,4.66,2,1,140,2.1142857142857143,0,0,0,40,1,0,0
87,26,0,0,63,4.2,2,1,118,3.2222222222222223,1,0,0,61,1,0,1
90,54,0,1,1,3.59,0,1,87,1.6363636363636365,1,0,0,36,1,0,0
92,34,1,1,98,3.99,3,0,140,2.6285714285714286,1,0,0,58,0,1,0
66,40,0,1,93,4.86,1,0,153,1.6097560975609757,0,0,0,26,0,0,0
96,43,0,2,97,3.68,2,1,91,2.1818181818181817,1,0,0,53,1,0,0
59,40,0,0,64,4.72,3,0,157,1.4390243902439024,0,0,0,19,0,1,1
71,8,1,2,57,3.68,3,0,75,7.888888888888889,0,1,0,63,0,1,0
79,13,0,0,67,4.05,1,1,151,5.642857142857143,0,0,0,66,1,0,1
61,39,1,1,82,4.49,2,1,46,1.525,0,0,0,22,1,0,0
46,22,0,1,97,3.51,2,0,100,2.0,0,0,0,24,0,0,0
38,22,2,0,60,3.6,2,1,104,1.6521739130434783,0,0,0,16,1,0,1
94,36,0,1,41,4.57,2,0,76,2.5405405405405403,1,0,0,58,0,0,0
34,11,1,0,66,4.59,2,0,134,2.8333333333333335,0,0,0,23,0,0,1
76,44,1,0,20,3.56,0,1,105,1.6888888888888889,0,0,0,32,1,0,1
61,42,0,0,11,3.72,3,0,52,1.4186046511627908,0,0,0,19,0,1,1
49,30,1,2,80,3.74,3,0,85,1.5806451612903225,0,0,0,19,0,1,0
34,6,0,1,11,3.75,2,0,179,4.857142857142857,0,1,0,28,0,0,0
25,9,0,0,11,3.58,3,0,31,2.5,0,1,0,16,0,1,1
63,46,2,2,36,4.59,2,0,18,1.3404255319148937,0,0,0,17,0,0,0
70,43,1,0,47,4.31,2,0,57,1.5909090909090908,0,0,0,27,0,0,1
88,16,1,0,26,4.18,2,0,32,5.176470588235294,1,0,0,72,0,0,1
44,6,1,0,80,4.13,3,1,40,6.285714285714286,0,1,0,38,1,1,1
26,12,0,2,9,3.75,0,0,115,2.0,0,0,0,14,0,0,0
48,35,0,0,47,4.26,2,0,26,1.3333333333333333,0,0,0,13,0,0,1
40,23,2,2,6,3.96,3,0,178,1.6666666666666667,0,0,0,17,0,1,0
39,15,1,1,53,4.6,1,1,38,2.4375,0,0,0,24,1,0,0
53,5,0,0,100,4.46,3,1,33,8.833333333333334,0,1,0,48,1,1,1
90,71,1,1,37,3.51,2,1,32,1.25,1,0,0,19,1,0,0
85,62,1,2,54,3.78,2,0,114,1.3492063492063493,1,0,0,23,0,0,0
78,22,0,1,74,3.77,0,0,149,3.391304347826087,0,0,0,56,0,0,0
44,9,1,1,54,4.2,2,1,13,4.4,0,1,0,35,1,0,0
55,29,1,0,92,4.85,2,0,44,1.8333333333333333,0,0,0,26,0,0,1
72,54,0,1,68,3.85,0,0,74,1.309090909090909,0,0,0,18,0,0,0
72,39,2,1,39,3.77,3,1,115,1.8,0,0,0,33,1,1,0
47,24,1,2,11,3.62,3,1,148,1.88,0,0,0,23,1,1,0
100,34,0,0,33,4.75,3,0,156,2.857142857142857,1,0,0,66,0,1,1
34,9,2,2,65,4.69,0,1,107,3.4,0,1,0,25,1,0,0
63,48,0,1,88,4.09,2,0,70,1.2857142857142858,0,0,0,15,0,0,0
38,17,2,2,92,4.41,0,1,138,2.111111111111111,0,0,0,21,1,0,0
95,56,0,2,86,3.79,2,1,147,1.6666666666666667,1,0,0,39,1,0,0
22,7,2,0,15,3.53,1,1,180,2.75,0,1,0,15,1,0,1
68,29,0,0,51,3.99,1,0,110,2.2666666666666666,0,0,0,39,0,0,1
84,37,1,1,94,3.83,3,0,28,2.210526315789474,1,0,0,47,0,1,0
59,47,0,2,73,3.54,3,0,75,1.2291666666666667,0,0,0,12,0,1,0
94,29,2,1,67,3.59,1,1,96,3.1333333333333333,1,0,0,65,1,0,0
39,9,2,0,39,4.64,0,1,48,3.9,0,1,0,30,1,0,1
29,8,0,2,79,4.26,2,1,133,3.2222222222222223,0,1,0,21,1,0,0
81,34,2,2,98,3.55,0,1,164,2.3142857142857145,0,0,0,47,1,0,0
91,31,2,1,12,4.39,3,0,39,2.84375,1,0,0,60,0,1,0
97,75,2,2,76,4.7,3,0,158,1.2763157894736843,1,0,0,22,0,1,0
50,25,2,2,89,4.74,0,0,107,1.9230769230769231,0,0,0,25,0,0,0
96,20,1,0,88,3.6,1,1,71,4.571428571428571,1,0,0,76,1,0,1
64,7,1,1,92,4.58,1,1,16,8.0,0,1,0,57,1,0,0
49,30,2,1,7,3.97,0,1,77,1.5806451612903225,0,0,0,19,1,0,0
52,22,1,0,72,3.6,2,1,101,2.260869565217391,0,0,0,30,1,0,1
90,56,1,2,61,4.38,3,1,91,1.5789473684210527,1,0,0,34,1,1,0
98,25,1,2,30,4.76,0,0,60,3.769230769230769,1,0,0,73,0,0,0
60,16,2,0,68,4.23,3,0,108,3.5294117647058822,0,0,0,44,0,1,1
56,34,1,2,1,4.56,0,0,121,1.6,0,0,0,22,0,0,0
39,12,1,1,54,3.77,2,1,176,3.0,0,0,0,27,1,0,0
99,31,2,2,0,3.54,2,0,50,3.09375,1,0,0,68,0,0,0
91,80,0,0,74,4.74,3,0,46,1.123456790123457,1,0,0,11,0,1,1
42,20,2,2,88,4.64,3,1,29,2.0,0,0,0,22,1,1,0
66,49,0,0,42,4.56,0,0,124,1.32,0,0,0,17,0,0,1
74,53,1,1,60,3.93,3,0,162,1.3703703703703705,0,0,0,21,0,1,0
82,13,1,0,32,3.58,3,0,148,5.857142857142857,1,0,0,69,0,1,1
84,62,2,2,52,4.61,0,0,29,1.3333333333333333,1,0,0,22,0,0,0
92,45,0,2,59,4.23,2,1,121,2.0,1,0,0,47,1,0,0
93,37,2,0,37,4.75,3,0,76,2.4473684210526314,1,0,0,56,0,1,1
61,36,2,2,72,4.64,3,1,109,1.6486486486486487,0,0,0,25,1,1,0
79,64,0,1,91,4.57,3,0,164,1.2153846153846153,0,0,0,15,0,1,0
95,53,1,2,6,4.01,0,1,158,1.7592592592592593,1,0,0,42,1,0,0
63,13,0,1,74,4.95,0,1,102,4.5,0,0,0,50,1,0,0
69,12,1,1,42,4.34,0,1,158,5.3076923076923075,0,0,0,57,1,0,0
